<source_id>,<source_type>,<dest_id>,<dest_type>,<link_type>,<link_traffic>,<link_saturation>,<stalled_chunks>
36,R,179,R,G,0,0.000000,0
36,R,187,R,G,0,0.000000,0
36,R,195,R,G,0,0.000000,0
36,R,144,T,CN,0,0.000000,0
36,R,145,T,CN,0,0.000000,0
36,R,146,T,CN,0,0.000000,0
36,R,147,T,CN,0,0.000000,0
37,R,32,R,L,0,0.000000,0
37,R,33,R,L,0,0.000000,0
37,R,34,R,L,0,0.000000,0
37,R,35,R,L,0,0.000000,0
37,R,36,R,L,0,0.000000,0
37,R,38,R,L,0,0.000000,0
37,R,39,R,L,0,0.000000,0
37,R,202,R,G,0,0.000000,0
37,R,210,R,G,0,0.000000,0
37,R,218,R,G,0,0.000000,0
37,R,226,R,G,0,0.000000,0
37,R,148,T,CN,0,0.000000,0
37,R,149,T,CN,0,0.000000,0
37,R,150,T,CN,0,0.000000,0
37,R,151,T,CN,0,0.000000,0
38,R,32,R,L,0,0.000000,0
38,R,33,R,L,0,0.000000,0
38,R,34,R,L,0,0.000000,0
38,R,35,R,L,0,0.000000,0
38,R,36,R,L,0,0.000000,0
38,R,37,R,L,0,0.000000,0
38,R,39,R,L,0,0.000000,0
38,R,233,R,G,0,0.000000,0
38,R,241,R,G,0,0.000000,0
38,R,249,R,G,0,0.000000,0
38,R,257,R,G,0,0.000000,0
38,R,152,T,CN,0,0.000000,0
38,R,153,T,CN,0,0.000000,0
38,R,154,T,CN,0,0.000000,0
38,R,155,T,CN,0,0.000000,0
39,R,32,R,L,0,0.000000,0
39,R,33,R,L,0,0.000000,0
39,R,34,R,L,0,0.000000,0
39,R,35,R,L,0,0.000000,0
39,R,36,R,L,0,0.000000,0
39,R,37,R,L,0,0.000000,0
39,R,38,R,L,0,0.000000,0
39,R,0,R,G,0,0.000000,0
39,R,8,R,G,0,0.000000,0
39,R,16,R,G,0,0.000000,0
39,R,24,R,G,0,0.000000,0
39,R,156,T,CN,0,0.000000,0
39,R,157,T,CN,0,0.000000,0
39,R,158,T,CN,0,0.000000,0
39,R,159,T,CN,0,0.000000,0
160,T,40,R,CN,0,0.000000,0
161,T,40,R,CN,0,0.000000,0
162,T,40,R,CN,0,0.000000,0
163,T,40,R,CN,0,0.000000,0
164,T,41,R,CN,0,0.000000,0
165,T,41,R,CN,0,0.000000,0
166,T,41,R,CN,0,0.000000,0
167,T,41,R,CN,0,0.000000,0
168,T,42,R,CN,0,0.000000,0
169,T,42,R,CN,0,0.000000,0
170,T,42,R,CN,0,0.000000,0
171,T,42,R,CN,0,0.000000,0
172,T,43,R,CN,0,0.000000,0
173,T,43,R,CN,0,0.000000,0
174,T,43,R,CN,0,0.000000,0
175,T,43,R,CN,0,0.000000,0
176,T,44,R,CN,0,0.000000,0
177,T,44,R,CN,0,0.000000,0
178,T,44,R,CN,0,0.000000,0
179,T,44,R,CN,0,0.000000,0
180,T,45,R,CN,0,0.000000,0
181,T,45,R,CN,0,0.000000,0
182,T,45,R,CN,0,0.000000,0
183,T,45,R,CN,0,0.000000,0
184,T,46,R,CN,0,0.000000,0
185,T,46,R,CN,0,0.000000,0
186,T,46,R,CN,0,0.000000,0
187,T,46,R,CN,0,0.000000,0
188,T,47,R,CN,0,0.000000,0
189,T,47,R,CN,0,0.000000,0
190,T,47,R,CN,0,0.000000,0
191,T,47,R,CN,0,0.000000,0
40,R,41,R,L,0,0.000000,0
40,R,42,R,L,0,0.000000,0
40,R,43,R,L,0,0.000000,0
40,R,44,R,L,0,0.000000,0
40,R,45,R,L,0,0.000000,0
40,R,46,R,L,0,0.000000,0
40,R,47,R,L,0,0.000000,0
40,R,55,R,G,0,0.000000,0
40,R,63,R,G,0,0.000000,0
40,R,71,R,G,0,0.000000,0
40,R,79,R,G,0,0.000000,0
40,R,160,T,CN,0,0.000000,0
40,R,161,T,CN,0,0.000000,0
40,R,162,T,CN,0,0.000000,0
40,R,163,T,CN,0,0.000000,0
41,R,40,R,L,0,0.000000,0
41,R,42,R,L,0,0.000000,0
41,R,43,R,L,0,0.000000,0
41,R,44,R,L,0,0.000000,0
41,R,45,R,L,0,0.000000,0
41,R,46,R,L,0,0.000000,0
41,R,47,R,L,0,0.000000,0
41,R,86,R,G,0,0.000000,0
41,R,94,R,G,0,0.000000,0
41,R,102,R,G,0,0.000000,0
41,R,110,R,G,0,0.000000,0
41,R,164,T,CN,0,0.000000,0
41,R,165,T,CN,0,0.000000,0
41,R,166,T,CN,0,0.000000,0
41,R,167,T,CN,0,0.000000,0
42,R,40,R,L,0,0.000000,0
42,R,41,R,L,0,0.000000,0
42,R,43,R,L,0,0.000000,0
42,R,44,R,L,0,0.000000,0
42,R,45,R,L,0,0.000000,0
42,R,46,R,L,0,0.000000,0
42,R,47,R,L,0,0.000000,0
42,R,117,R,G,0,0.000000,0
42,R,125,R,G,0,0.000000,0
42,R,133,R,G,0,0.000000,0
42,R,141,R,G,0,0.000000,0
42,R,168,T,CN,0,0.000000,0
42,R,169,T,CN,0,0.000000,0
42,R,170,T,CN,0,0.000000,0
42,R,171,T,CN,0,0.000000,0
43,R,40,R,L,0,0.000000,0
43,R,41,R,L,0,0.000000,0
43,R,42,R,L,0,0.000000,0
43,R,44,R,L,0,0.000000,0
43,R,45,R,L,0,0.000000,0
43,R,46,R,L,0,0.000000,0
43,R,47,R,L,0,0.000000,0
43,R,148,R,G,0,0.000000,0
43,R,156,R,G,0,0.000000,0
43,R,164,R,G,0,0.000000,0
43,R,172,R,G,0,0.000000,0
43,R,172,T,CN,0,0.000000,0
43,R,173,T,CN,0,0.000000,0
43,R,174,T,CN,0,0.000000,0
43,R,175,T,CN,0,0.000000,0
44,R,40,R,L,0,0.000000,0
44,R,41,R,L,0,0.000000,0
44,R,42,R,L,0,0.000000,0
44,R,43,R,L,0,0.000000,0
44,R,45,R,L,0,0.000000,0
44,R,46,R,L,0,0.000000,0
44,R,47,R,L,0,0.000000,0
44,R,179,R,G,0,0.000000,0
44,R,187,R,G,0,0.000000,0
44,R,195,R,G,0,0.000000,0
44,R,203,R,G,0,0.000000,0
44,R,176,T,CN,0,0.000000,0
44,R,177,T,CN,0,0.000000,0
44,R,178,T,CN,0,0.000000,0
44,R,179,T,CN,0,0.000000,0
45,R,40,R,L,0,0.000000,0
45,R,41,R,L,0,0.000000,0
45,R,42,R,L,0,0.000000,0
45,R,43,R,L,0,0.000000,0
45,R,44,R,L,0,0.000000,0
45,R,46,R,L,0,0.000000,0
45,R,47,R,L,0,0.000000,0
45,R,210,R,G,0,0.000000,0
45,R,218,R,G,0,0.000000,0
45,R,226,R,G,0,0.000000,0
45,R,234,R,G,0,0.000000,0
45,R,180,T,CN,0,0.000000,0
45,R,181,T,CN,0,0.000000,0
45,R,182,T,CN,0,0.000000,0
45,R,183,T,CN,0,0.000000,0
46,R,40,R,L,0,0.000000,0
46,R,41,R,L,0,0.000000,0
46,R,42,R,L,0,0.000000,0
46,R,43,R,L,0,0.000000,0
46,R,44,R,L,0,0.000000,0
46,R,45,R,L,0,0.000000,0
46,R,47,R,L,0,0.000000,0
46,R,1,R,G,0,0.000000,0
46,R,241,R,G,0,0.000000,0
46,R,249,R,G,0,0.000000,0
46,R,257,R,G,0,0.000000,0
46,R,184,T,CN,0,0.000000,0
46,R,185,T,CN,0,0.000000,0
46,R,186,T,CN,0,0.000000,0
46,R,187,T,CN,0,0.000000,0
47,R,40,R,L,0,0.000000,0
47,R,41,R,L,0,0.000000,0
47,R,42,R,L,0,0.000000,0
47,R,43,R,L,0,0.000000,0
47,R,44,R,L,0,0.000000,0
47,R,45,R,L,0,0.000000,0
47,R,46,R,L,0,0.000000,0
47,R,8,R,G,0,0.000000,0
47,R,16,R,G,0,0.000000,0
47,R,24,R,G,0,0.000000,0
47,R,32,R,G,0,0.000000,0
47,R,188,T,CN,0,0.000000,0
47,R,189,T,CN,0,0.000000,0
47,R,190,T,CN,0,0.000000,0
47,R,191,T,CN,0,0.000000,0
192,T,48,R,CN,0,0.000000,0
193,T,48,R,CN,0,0.000000,0
194,T,48,R,CN,0,0.000000,0
195,T,48,R,CN,0,0.000000,0
196,T,49,R,CN,0,0.000000,0
197,T,49,R,CN,0,0.000000,0
198,T,49,R,CN,0,0.000000,0
199,T,49,R,CN,0,0.000000,0
200,T,50,R,CN,0,0.000000,0
201,T,50,R,CN,0,0.000000,0
202,T,50,R,CN,0,0.000000,0
203,T,50,R,CN,0,0.000000,0
204,T,51,R,CN,0,0.000000,0
205,T,51,R,CN,0,0.000000,0
206,T,51,R,CN,0,0.000000,0
207,T,51,R,CN,0,0.000000,0
208,T,52,R,CN,0,0.000000,0
209,T,52,R,CN,0,0.000000,0
210,T,52,R,CN,0,0.000000,0
211,T,52,R,CN,0,0.000000,0
212,T,53,R,CN,0,0.000000,0
213,T,53,R,CN,0,0.000000,0
214,T,53,R,CN,0,0.000000,0
215,T,53,R,CN,0,0.000000,0
216,T,54,R,CN,0,0.000000,0
217,T,54,R,CN,0,0.000000,0
218,T,54,R,CN,0,0.000000,0
219,T,54,R,CN,0,0.000000,0
220,T,55,R,CN,0,0.000000,0
221,T,55,R,CN,0,0.000000,0
222,T,55,R,CN,0,0.000000,0
223,T,55,R,CN,0,0.000000,0
48,R,49,R,L,0,0.000000,0
48,R,50,R,L,0,0.000000,0
48,R,51,R,L,0,0.000000,0
48,R,52,R,L,0,0.000000,0
48,R,53,R,L,0,0.000000,0
48,R,54,R,L,0,0.000000,0
48,R,55,R,L,0,0.000000,0
48,R,63,R,G,0,0.000000,0
48,R,71,R,G,0,0.000000,0
48,R,79,R,G,0,0.000000,0
48,R,87,R,G,0,0.000000,0
48,R,192,T,CN,0,0.000000,0
48,R,193,T,CN,0,0.000000,0
48,R,194,T,CN,0,0.000000,0
48,R,195,T,CN,0,0.000000,0
49,R,48,R,L,0,0.000000,0
49,R,50,R,L,0,0.000000,0
49,R,51,R,L,0,0.000000,0
49,R,52,R,L,0,0.000000,0
49,R,53,R,L,0,0.000000,0
49,R,54,R,L,0,0.000000,0
49,R,55,R,L,0,0.000000,0
49,R,94,R,G,0,0.000000,0
49,R,102,R,G,0,0.000000,0
49,R,110,R,G,0,0.000000,0
49,R,118,R,G,0,0.000000,0
49,R,196,T,CN,0,0.000000,0
49,R,197,T,CN,0,0.000000,0
49,R,198,T,CN,0,0.000000,0
49,R,199,T,CN,0,0.000000,0
50,R,48,R,L,0,0.000000,0
50,R,49,R,L,0,0.000000,0
50,R,51,R,L,0,0.000000,0
50,R,52,R,L,0,0.000000,0
50,R,53,R,L,0,0.000000,0
50,R,54,R,L,0,0.000000,0
50,R,55,R,L,0,0.000000,0
50,R,125,R,G,0,0.000000,0
50,R,133,R,G,0,0.000000,0
50,R,141,R,G,0,0.000000,0
50,R,149,R,G,0,0.000000,0
50,R,200,T,CN,0,0.000000,0
50,R,201,T,CN,0,0.000000,0
50,R,202,T,CN,0,0.000000,0
50,R,203,T,CN,0,0.000000,0
51,R,48,R,L,0,0.000000,0
51,R,49,R,L,0,0.000000,0
51,R,50,R,L,0,0.000000,0
51,R,52,R,L,0,0.000000,0
51,R,53,R,L,0,0.000000,0
51,R,54,R,L,0,0.000000,0
51,R,55,R,L,0,0.000000,0
51,R,156,R,G,0,0.000000,0
51,R,164,R,G,0,0.000000,0
51,R,172,R,G,0,0.000000,0
51,R,180,R,G,0,0.000000,0
51,R,204,T,CN,0,0.000000,0
51,R,205,T,CN,0,0.000000,0
51,R,206,T,CN,0,0.000000,0
51,R,207,T,CN,0,0.000000,0
52,R,48,R,L,0,0.000000,0
52,R,49,R,L,0,0.000000,0
52,R,50,R,L,0,0.000000,0
52,R,51,R,L,0,0.000000,0
52,R,53,R,L,0,0.000000,0
52,R,54,R,L,0,0.000000,0
52,R,55,R,L,0,0.000000,0
52,R,187,R,G,0,0.000000,0
52,R,195,R,G,0,0.000000,0
52,R,203,R,G,0,0.000000,0
52,R,211,R,G,0,0.000000,0
52,R,208,T,CN,0,0.000000,0
52,R,209,T,CN,0,0.000000,0
52,R,210,T,CN,0,0.000000,0
52,R,211,T,CN,0,0.000000,0
53,R,48,R,L,0,0.000000,0
53,R,49,R,L,0,0.000000,0
53,R,50,R,L,0,0.000000,0
53,R,51,R,L,0,0.000000,0
53,R,52,R,L,0,0.000000,0
53,R,54,R,L,0,0.000000,0
53,R,55,R,L,0,0.000000,0
53,R,218,R,G,0,0.000000,0
53,R,226,R,G,0,0.000000,0
53,R,234,R,G,0,0.000000,0
53,R,242,R,G,0,0.000000,0
53,R,212,T,CN,0,0.000000,0
53,R,213,T,CN,0,0.000000,0
53,R,214,T,CN,0,0.000000,0
53,R,215,T,CN,0,0.000000,0
54,R,48,R,L,0,0.000000,0
54,R,49,R,L,0,0.000000,0
54,R,50,R,L,0,0.000000,0
54,R,51,R,L,0,0.000000,0
54,R,52,R,L,0,0.000000,0
54,R,53,R,L,0,0.000000,0
54,R,55,R,L,0,0.000000,0
54,R,1,R,G,0,0.000000,0
54,R,9,R,G,0,0.000000,0
54,R,249,R,G,0,0.000000,0
54,R,257,R,G,0,0.000000,0
54,R,216,T,CN,0,0.000000,0
54,R,217,T,CN,0,0.000000,0
54,R,218,T,CN,0,0.000000,0
54,R,219,T,CN,0,0.000000,0
55,R,48,R,L,0,0.000000,0
55,R,49,R,L,0,0.000000,0
55,R,50,R,L,0,0.000000,0
55,R,51,R,L,0,0.000000,0
55,R,52,R,L,0,0.000000,0
55,R,53,R,L,0,0.000000,0
55,R,54,R,L,0,0.000000,0
55,R,16,R,G,0,0.000000,0
55,R,24,R,G,0,0.000000,0
55,R,32,R,G,0,0.000000,0
55,R,40,R,G,0,0.000000,0
55,R,220,T,CN,0,0.000000,0
55,R,221,T,CN,0,0.000000,0
55,R,222,T,CN,0,0.000000,0
55,R,223,T,CN,0,0.000000,0
224,T,56,R,CN,0,0.000000,0
225,T,56,R,CN,0,0.000000,0
226,T,56,R,CN,0,0.000000,0
227,T,56,R,CN,0,0.000000,0
228,T,57,R,CN,0,0.000000,0
229,T,57,R,CN,0,0.000000,0
230,T,57,R,CN,0,0.000000,0
231,T,57,R,CN,0,0.000000,0
232,T,58,R,CN,0,0.000000,0
233,T,58,R,CN,0,0.000000,0
234,T,58,R,CN,0,0.000000,0
235,T,58,R,CN,0,0.000000,0
236,T,59,R,CN,0,0.000000,0
237,T,59,R,CN,0,0.000000,0
238,T,59,R,CN,0,0.000000,0
239,T,59,R,CN,0,0.000000,0
240,T,60,R,CN,0,0.000000,0
241,T,60,R,CN,0,0.000000,0
242,T,60,R,CN,0,0.000000,0
243,T,60,R,CN,0,0.000000,0
244,T,61,R,CN,0,0.000000,0
245,T,61,R,CN,0,0.000000,0
246,T,61,R,CN,0,0.000000,0
247,T,61,R,CN,0,0.000000,0
248,T,62,R,CN,0,0.000000,0
249,T,62,R,CN,0,0.000000,0
250,T,62,R,CN,0,0.000000,0
251,T,62,R,CN,0,0.000000,0
252,T,63,R,CN,0,0.000000,0
253,T,63,R,CN,0,0.000000,0
254,T,63,R,CN,0,0.000000,0
255,T,63,R,CN,0,0.000000,0
56,R,57,R,L,0,0.000000,0
56,R,58,R,L,0,0.000000,0
56,R,59,R,L,0,0.000000,0
56,R,60,R,L,0,0.000000,0
56,R,61,R,L,0,0.000000,0
56,R,62,R,L,0,0.000000,0
56,R,63,R,L,0,0.000000,0
56,R,71,R,G,0,0.000000,0
56,R,79,R,G,0,0.000000,0
56,R,87,R,G,0,0.000000,0
56,R,95,R,G,0,0.000000,0
56,R,224,T,CN,0,0.000000,0
56,R,225,T,CN,0,0.000000,0
56,R,226,T,CN,0,0.000000,0
56,R,227,T,CN,0,0.000000,0
57,R,56,R,L,0,0.000000,0
57,R,58,R,L,0,0.000000,0
57,R,59,R,L,0,0.000000,0
57,R,60,R,L,0,0.000000,0
57,R,61,R,L,0,0.000000,0
57,R,62,R,L,0,0.000000,0
57,R,63,R,L,0,0.000000,0
57,R,102,R,G,0,0.000000,0
57,R,110,R,G,0,0.000000,0
57,R,118,R,G,0,0.000000,0
57,R,126,R,G,0,0.000000,0
57,R,228,T,CN,0,0.000000,0
57,R,229,T,CN,0,0.000000,0
57,R,230,T,CN,0,0.000000,0
57,R,231,T,CN,0,0.000000,0
58,R,56,R,L,0,0.000000,0
58,R,57,R,L,0,0.000000,0
58,R,59,R,L,0,0.000000,0
58,R,60,R,L,0,0.000000,0
58,R,61,R,L,0,0.000000,0
58,R,62,R,L,0,0.000000,0
58,R,63,R,L,0,0.000000,0
58,R,133,R,G,0,0.000000,0
58,R,141,R,G,0,0.000000,0
58,R,149,R,G,0,0.000000,0
58,R,157,R,G,0,0.000000,0
58,R,232,T,CN,0,0.000000,0
58,R,233,T,CN,0,0.000000,0
58,R,234,T,CN,0,0.000000,0
58,R,235,T,CN,0,0.000000,0
59,R,56,R,L,0,0.000000,0
59,R,57,R,L,0,0.000000,0
59,R,58,R,L,0,0.000000,0
59,R,60,R,L,0,0.000000,0
59,R,61,R,L,0,0.000000,0
59,R,62,R,L,0,0.000000,0
59,R,63,R,L,0,0.000000,0
59,R,164,R,G,0,0.000000,0
59,R,172,R,G,0,0.000000,0
59,R,180,R,G,0,0.000000,0
59,R,188,R,G,0,0.000000,0
59,R,236,T,CN,0,0.000000,0
59,R,237,T,CN,0,0.000000,0
59,R,238,T,CN,0,0.000000,0
59,R,239,T,CN,0,0.000000,0
60,R,56,R,L,0,0.000000,0
60,R,57,R,L,0,0.000000,0
60,R,58,R,L,0,0.000000,0
60,R,59,R,L,0,0.000000,0
60,R,61,R,L,0,0.000000,0
60,R,62,R,L,0,0.000000,0
60,R,63,R,L,0,0.000000,0
60,R,195,R,G,0,0.000000,0
60,R,203,R,G,0,0.000000,0
60,R,211,R,G,0,0.000000,0
60,R,219,R,G,0,0.000000,0
60,R,240,T,CN,0,0.000000,0
60,R,241,T,CN,0,0.000000,0
60,R,242,T,CN,0,0.000000,0
60,R,243,T,CN,0,0.000000,0
61,R,56,R,L,0,0.000000,0
61,R,57,R,L,0,0.000000,0
61,R,58,R,L,0,0.000000,0
61,R,59,R,L,0,0.000000,0
61,R,60,R,L,0,0.000000,0
61,R,62,R,L,0,0.000000,0
61,R,63,R,L,0,0.000000,0
61,R,226,R,G,0,0.000000,0
61,R,234,R,G,0,0.000000,0
61,R,242,R,G,0,0.000000,0
61,R,250,R,G,0,0.000000,0
61,R,244,T,CN,0,0.000000,0
61,R,245,T,CN,0,0.000000,0
61,R,246,T,CN,0,0.000000,0
61,R,247,T,CN,0,0.000000,0
62,R,56,R,L,0,0.000000,0
62,R,57,R,L,0,0.000000,0
62,R,58,R,L,0,0.000000,0
62,R,59,R,L,0,0.000000,0
62,R,60,R,L,0,0.000000,0
62,R,61,R,L,0,0.000000,0
62,R,63,R,L,0,0.000000,0
62,R,1,R,G,0,0.000000,0
62,R,9,R,G,0,0.000000,0
62,R,17,R,G,0,0.000000,0
62,R,257,R,G,0,0.000000,0
62,R,248,T,CN,0,0.000000,0
62,R,249,T,CN,0,0.000000,0
62,R,250,T,CN,0,0.000000,0
62,R,251,T,CN,0,0.000000,0
63,R,56,R,L,0,0.000000,0
63,R,57,R,L,0,0.000000,0
63,R,58,R,L,0,0.000000,0
63,R,59,R,L,0,0.000000,0
63,R,60,R,L,0,0.000000,0
63,R,61,R,L,0,0.000000,0
63,R,62,R,L,0,0.000000,0
63,R,24,R,G,0,0.000000,0
63,R,32,R,G,0,0.000000,0
63,R,40,R,G,0,0.000000,0
63,R,48,R,G,0,0.000000,0
63,R,252,T,CN,0,0.000000,0
63,R,253,T,CN,0,0.000000,0
63,R,254,T,CN,0,0.000000,0
63,R,255,T,CN,0,0.000000,0
256,T,64,R,CN,0,0.000000,0
257,T,64,R,CN,0,0.000000,0
258,T,64,R,CN,0,0.000000,0
259,T,64,R,CN,0,0.000000,0
260,T,65,R,CN,0,0.000000,0
261,T,65,R,CN,0,0.000000,0
262,T,65,R,CN,0,0.000000,0
263,T,65,R,CN,0,0.000000,0
264,T,66,R,CN,0,0.000000,0
265,T,66,R,CN,0,0.000000,0
266,T,66,R,CN,0,0.000000,0
267,T,66,R,CN,0,0.000000,0
268,T,67,R,CN,0,0.000000,0
269,T,67,R,CN,0,0.000000,0
270,T,67,R,CN,0,0.000000,0
271,T,67,R,CN,0,0.000000,0
272,T,68,R,CN,0,0.000000,0
273,T,68,R,CN,0,0.000000,0
274,T,68,R,CN,0,0.000000,0
275,T,68,R,CN,0,0.000000,0
276,T,69,R,CN,0,0.000000,0
277,T,69,R,CN,0,0.000000,0
278,T,69,R,CN,0,0.000000,0
279,T,69,R,CN,0,0.000000,0
280,T,70,R,CN,0,0.000000,0
281,T,70,R,CN,0,0.000000,0
282,T,70,R,CN,0,0.000000,0
283,T,70,R,CN,0,0.000000,0
284,T,71,R,CN,0,0.000000,0
285,T,71,R,CN,0,0.000000,0
286,T,71,R,CN,0,0.000000,0
287,T,71,R,CN,0,0.000000,0
64,R,65,R,L,0,0.000000,0
64,R,66,R,L,0,0.000000,0
64,R,67,R,L,0,0.000000,0
64,R,68,R,L,0,0.000000,0
64,R,69,R,L,0,0.000000,0
64,R,70,R,L,0,0.000000,0
64,R,71,R,L,0,0.000000,0
64,R,79,R,G,0,0.000000,0
64,R,87,R,G,0,0.000000,0
64,R,95,R,G,0,0.000000,0
64,R,103,R,G,0,0.000000,0
64,R,256,T,CN,0,0.000000,0
64,R,257,T,CN,0,0.000000,0
64,R,258,T,CN,0,0.000000,0
64,R,259,T,CN,0,0.000000,0
65,R,64,R,L,0,0.000000,0
65,R,66,R,L,0,0.000000,0
65,R,67,R,L,0,0.000000,0
65,R,68,R,L,0,0.000000,0
65,R,69,R,L,0,0.000000,0
65,R,70,R,L,0,0.000000,0
65,R,71,R,L,0,0.000000,0
65,R,110,R,G,0,0.000000,0
65,R,118,R,G,0,0.000000,0
65,R,126,R,G,0,0.000000,0
65,R,134,R,G,0,0.000000,0
65,R,260,T,CN,0,0.000000,0
65,R,261,T,CN,0,0.000000,0
65,R,262,T,CN,0,0.000000,0
65,R,263,T,CN,0,0.000000,0
66,R,64,R,L,0,0.000000,0
66,R,65,R,L,0,0.000000,0
66,R,67,R,L,0,0.000000,0
66,R,68,R,L,0,0.000000,0
66,R,69,R,L,0,0.000000,0
66,R,70,R,L,0,0.000000,0
66,R,71,R,L,0,0.000000,0
66,R,141,R,G,0,0.000000,0
66,R,149,R,G,0,0.000000,0
66,R,157,R,G,0,0.000000,0
66,R,165,R,G,0,0.000000,0
66,R,264,T,CN,0,0.000000,0
66,R,265,T,CN,0,0.000000,0
66,R,266,T,CN,0,0.000000,0
66,R,267,T,CN,0,0.000000,0
67,R,64,R,L,0,0.000000,0
67,R,65,R,L,0,0.000000,0
67,R,66,R,L,0,0.000000,0
67,R,68,R,L,0,0.000000,0
67,R,69,R,L,0,0.000000,0
67,R,70,R,L,0,0.000000,0
67,R,71,R,L,0,0.000000,0
67,R,172,R,G,0,0.000000,0
67,R,180,R,G,0,0.000000,0
67,R,188,R,G,0,0.000000,0
67,R,196,R,G,0,0.000000,0
67,R,268,T,CN,0,0.000000,0
67,R,269,T,CN,0,0.000000,0
67,R,270,T,CN,0,0.000000,0
67,R,271,T,CN,0,0.000000,0
68,R,64,R,L,0,0.000000,0
68,R,65,R,L,0,0.000000,0
68,R,66,R,L,0,0.000000,0
68,R,67,R,L,0,0.000000,0
68,R,69,R,L,0,0.000000,0
68,R,70,R,L,0,0.000000,0
68,R,71,R,L,0,0.000000,0
68,R,203,R,G,0,0.000000,0
68,R,211,R,G,0,0.000000,0
68,R,219,R,G,0,0.000000,0
68,R,227,R,G,0,0.000000,0
68,R,272,T,CN,0,0.000000,0
68,R,273,T,CN,0,0.000000,0
68,R,274,T,CN,0,0.000000,0
68,R,275,T,CN,0,0.000000,0
69,R,64,R,L,0,0.000000,0
69,R,65,R,L,0,0.000000,0
69,R,66,R,L,0,0.000000,0
69,R,67,R,L,0,0.000000,0
69,R,68,R,L,0,0.000000,0
69,R,70,R,L,0,0.000000,0
69,R,71,R,L,0,0.000000,0
69,R,234,R,G,0,0.000000,0
69,R,242,R,G,0,0.000000,0
69,R,250,R,G,0,0.000000,0
69,R,258,R,G,0,0.000000,0
69,R,276,T,CN,0,0.000000,0
69,R,277,T,CN,0,0.000000,0
69,R,278,T,CN,0,0.000000,0
69,R,279,T,CN,0,0.000000,0
70,R,64,R,L,0,0.000000,0
70,R,65,R,L,0,0.000000,0
70,R,66,R,L,0,0.000000,0
70,R,67,R,L,0,0.000000,0
70,R,68,R,L,0,0.000000,0
70,R,69,R,L,0,0.000000,0
70,R,71,R,L,0,0.000000,0
70,R,1,R,G,0,0.000000,0
70,R,9,R,G,0,0.000000,0
70,R,17,R,G,0,0.000000,0
70,R,25,R,G,0,0.000000,0
70,R,280,T,CN,0,0.000000,0
70,R,281,T,CN,0,0.000000,0
70,R,282,T,CN,0,0.000000,0
70,R,283,T,CN,0,0.000000,0
71,R,64,R,L,0,0.000000,0
71,R,65,R,L,0,0.000000,0
71,R,66,R,L,0,0.000000,0
71,R,67,R,L,0,0.000000,0
71,R,68,R,L,0,0.000000,0
71,R,69,R,L,0,0.000000,0
71,R,70,R,L,0,0.000000,0
71,R,32,R,G,0,0.000000,0
71,R,40,R,G,0,0.000000,0
71,R,48,R,G,0,0.000000,0
71,R,56,R,G,0,0.000000,0
71,R,284,T,CN,0,0.000000,0
71,R,285,T,CN,0,0.000000,0
71,R,286,T,CN,0,0.000000,0
71,R,287,T,CN,0,0.000000,0
288,T,72,R,CN,0,0.000000,0
289,T,72,R,CN,0,0.000000,0
290,T,72,R,CN,0,0.000000,0
291,T,72,R,CN,0,0.000000,0
292,T,73,R,CN,0,0.000000,0
293,T,73,R,CN,0,0.000000,0
294,T,73,R,CN,0,0.000000,0
295,T,73,R,CN,0,0.000000,0
296,T,74,R,CN,0,0.000000,0
297,T,74,R,CN,0,0.000000,0
298,T,74,R,CN,0,0.000000,0
299,T,74,R,CN,0,0.000000,0
300,T,75,R,CN,0,0.000000,0
301,T,75,R,CN,0,0.000000,0
302,T,75,R,CN,0,0.000000,0
303,T,75,R,CN,0,0.000000,0
304,T,76,R,CN,0,0.000000,0
305,T,76,R,CN,0,0.000000,0
306,T,76,R,CN,0,0.000000,0
307,T,76,R,CN,0,0.000000,0
308,T,77,R,CN,0,0.000000,0
309,T,77,R,CN,0,0.000000,0
310,T,77,R,CN,0,0.000000,0
311,T,77,R,CN,0,0.000000,0
312,T,78,R,CN,0,0.000000,0
313,T,78,R,CN,0,0.000000,0
314,T,78,R,CN,0,0.000000,0
315,T,78,R,CN,0,0.000000,0
316,T,79,R,CN,0,0.000000,0
317,T,79,R,CN,0,0.000000,0
318,T,79,R,CN,0,0.000000,0
319,T,79,R,CN,0,0.000000,0
72,R,73,R,L,0,0.000000,0
72,R,74,R,L,0,0.000000,0
72,R,75,R,L,0,0.000000,0
72,R,76,R,L,0,0.000000,0
72,R,77,R,L,0,0.000000,0
72,R,78,R,L,0,0.000000,0
72,R,79,R,L,0,0.000000,0
72,R,87,R,G,0,0.000000,0
72,R,95,R,G,0,0.000000,0
72,R,103,R,G,0,0.000000,0
72,R,111,R,G,0,0.000000,0
72,R,288,T,CN,0,0.000000,0
72,R,289,T,CN,0,0.000000,0
72,R,290,T,CN,0,0.000000,0
72,R,291,T,CN,0,0.000000,0
73,R,72,R,L,0,0.000000,0
73,R,74,R,L,0,0.000000,0
73,R,75,R,L,0,0.000000,0
73,R,76,R,L,0,0.000000,0
73,R,77,R,L,0,0.000000,0
73,R,78,R,L,0,0.000000,0
73,R,79,R,L,0,0.000000,0
73,R,118,R,G,0,0.000000,0
73,R,126,R,G,0,0.000000,0
73,R,134,R,G,0,0.000000,0
