<source_id>,<source_type>,<dest_id>,<dest_type>,<link_type>,<link_traffic>,<link_saturation>,<stalled_chunks>
41,T,10,R,CN,0,0.000000,0
42,T,10,R,CN,0,0.000000,0
43,T,10,R,CN,0,0.000000,0
44,T,11,R,CN,0,0.000000,0
45,T,11,R,CN,0,0.000000,0
46,T,11,R,CN,0,0.000000,0
47,T,11,R,CN,0,0.000000,0
48,T,12,R,CN,0,0.000000,0
49,T,12,R,CN,0,0.000000,0
50,T,12,R,CN,0,0.000000,0
51,T,12,R,CN,0,0.000000,0
52,T,13,R,CN,0,0.000000,0
53,T,13,R,CN,0,0.000000,0
54,T,13,R,CN,0,0.000000,0
55,T,13,R,CN,0,0.000000,0
56,T,14,R,CN,0,0.000000,0
57,T,14,R,CN,0,0.000000,0
58,T,14,R,CN,0,0.000000,0
59,T,14,R,CN,0,0.000000,0
60,T,15,R,CN,0,0.000000,0
61,T,15,R,CN,0,0.000000,0
62,T,15,R,CN,0,0.000000,0
63,T,15,R,CN,0,0.000000,0
8,R,9,R,L,0,0.000000,0
8,R,10,R,L,0,0.000000,0
8,R,11,R,L,0,0.000000,0
8,R,12,R,L,0,0.000000,0
8,R,13,R,L,0,0.000000,0
8,R,14,R,L,0,0.000000,0
8,R,15,R,L,0,0.000000,0
8,R,23,R,G,0,0.000000,0
8,R,31,R,G,0,0.000000,0
8,R,39,R,G,0,0.000000,0
8,R,47,R,G,0,0.000000,0
8,R,32,T,CN,0,0.000000,0
8,R,33,T,CN,0,0.000000,0
8,R,34,T,CN,0,0.000000,0
8,R,35,T,CN,0,0.000000,0
9,R,8,R,L,0,0.000000,0
9,R,10,R,L,0,0.000000,0
9,R,11,R,L,0,0.000000,0
9,R,12,R,L,0,0.000000,0
9,R,13,R,L,0,0.000000,0
9,R,14,R,L,0,0.000000,0
9,R,15,R,L,0,0.000000,0
9,R,54,R,G,0,0.000000,0
9,R,62,R,G,0,0.000000,0
9,R,70,R,G,0,0.000000,0
9,R,78,R,G,0,0.000000,0
9,R,36,T,CN,0,0.000000,0
9,R,37,T,CN,0,0.000000,0
9,R,38,T,CN,0,0.000000,0
9,R,39,T,CN,0,0.000000,0
10,R,8,R,L,0,0.000000,0
10,R,9,R,L,0,0.000000,0
10,R,11,R,L,0,0.000000,0
10,R,12,R,L,0,0.000000,0
10,R,13,R,L,0,0.000000,0
10,R,14,R,L,0,0.000000,0
10,R,15,R,L,0,0.000000,0
10,R,85,R,G,0,0.000000,0
10,R,93,R,G,0,0.000000,0
10,R,101,R,G,0,0.000000,0
10,R,109,R,G,0,0.000000,0
10,R,40,T,CN,0,0.000000,0
10,R,41,T,CN,0,0.000000,0
10,R,42,T,CN,0,0.000000,0
10,R,43,T,CN,0,0.000000,0
11,R,8,R,L,0,0.000000,0
11,R,9,R,L,0,0.000000,0
11,R,10,R,L,0,0.000000,0
11,R,12,R,L,0,0.000000,0
11,R,13,R,L,0,0.000000,0
11,R,14,R,L,0,0.000000,0
11,R,15,R,L,0,0.000000,0
11,R,116,R,G,0,0.000000,0
11,R,124,R,G,0,0.000000,0
11,R,132,R,G,0,0.000000,0
11,R,140,R,G,0,0.000000,0
11,R,44,T,CN,0,0.000000,0
11,R,45,T,CN,0,0.000000,0
11,R,46,T,CN,0,0.000000,0
11,R,47,T,CN,0,0.000000,0
12,R,8,R,L,0,0.000000,0
12,R,9,R,L,0,0.000000,0
12,R,10,R,L,0,0.000000,0
12,R,11,R,L,0,0.000000,0
12,R,13,R,L,0,0.000000,0
12,R,14,R,L,0,0.000000,0
12,R,15,R,L,0,0.000000,0
12,R,147,R,G,0,0.000000,0
12,R,155,R,G,0,0.000000,0
12,R,163,R,G,0,0.000000,0
12,R,171,R,G,0,0.000000,0
12,R,48,T,CN,0,0.000000,0
12,R,49,T,CN,0,0.000000,0
12,R,50,T,CN,0,0.000000,0
12,R,51,T,CN,0,0.000000,0
13,R,8,R,L,0,0.000000,0
13,R,9,R,L,0,0.000000,0
13,R,10,R,L,0,0.000000,0
13,R,11,R,L,0,0.000000,0
13,R,12,R,L,0,0.000000,0
13,R,14,R,L,0,0.000000,0
13,R,15,R,L,0,0.000000,0
13,R,178,R,G,0,0.000000,0
13,R,186,R,G,0,0.000000,0
13,R,194,R,G,0,0.000000,0
13,R,202,R,G,0,0.000000,0
13,R,52,T,CN,0,0.000000,0
13,R,53,T,CN,0,0.000000,0
13,R,54,T,CN,0,0.000000,0
13,R,55,T,CN,0,0.000000,0
14,R,8,R,L,0,0.000000,0
14,R,9,R,L,0,0.000000,0
14,R,10,R,L,0,0.000000,0
14,R,11,R,L,0,0.000000,0
14,R,12,R,L,0,0.000000,0
14,R,13,R,L,0,0.000000,0
14,R,15,R,L,0,0.000000,0
14,R,209,R,G,0,0.000000,0
14,R,217,R,G,0,0.000000,0
14,R,225,R,G,0,0.000000,0
14,R,233,R,G,0,0.000000,0
14,R,56,T,CN,0,0.000000,0
14,R,57,T,CN,0,0.000000,0
14,R,58,T,CN,0,0.000000,0
14,R,59,T,CN,0,0.000000,0
15,R,8,R,L,0,0.000000,0
15,R,9,R,L,0,0.000000,0
15,R,10,R,L,0,0.000000,0
15,R,11,R,L,0,0.000000,0
15,R,12,R,L,0,0.000000,0
15,R,13,R,L,0,0.000000,0
15,R,14,R,L,0,0.000000,0
15,R,0,R,G,0,0.000000,0
15,R,240,R,G,0,0.000000,0
15,R,248,R,G,0,0.000000,0
15,R,256,R,G,0,0.000000,0
15,R,60,T,CN,0,0.000000,0
15,R,61,T,CN,0,0.000000,0
15,R,62,T,CN,0,0.000000,0
15,R,63,T,CN,0,0.000000,0
64,T,16,R,CN,0,0.000000,0
65,T,16,R,CN,0,0.000000,0
66,T,16,R,CN,0,0.000000,0
67,T,16,R,CN,0,0.000000,0
68,T,17,R,CN,0,0.000000,0
69,T,17,R,CN,0,0.000000,0
70,T,17,R,CN,0,0.000000,0
71,T,17,R,CN,0,0.000000,0
72,T,18,R,CN,0,0.000000,0
73,T,18,R,CN,0,0.000000,0
74,T,18,R,CN,0,0.000000,0
75,T,18,R,CN,0,0.000000,0
76,T,19,R,CN,0,0.000000,0
77,T,19,R,CN,0,0.000000,0
78,T,19,R,CN,0,0.000000,0
79,T,19,R,CN,0,0.000000,0
80,T,20,R,CN,0,0.000000,0
81,T,20,R,CN,0,0.000000,0
82,T,20,R,CN,0,0.000000,0
83,T,20,R,CN,0,0.000000,0
84,T,21,R,CN,0,0.000000,0
85,T,21,R,CN,0,0.000000,0
86,T,21,R,CN,0,0.000000,0
87,T,21,R,CN,0,0.000000,0
88,T,22,R,CN,0,0.000000,0
89,T,22,R,CN,0,0.000000,0
90,T,22,R,CN,0,0.000000,0
91,T,22,R,CN,0,0.000000,0
92,T,23,R,CN,0,0.000000,0
93,T,23,R,CN,0,0.000000,0
94,T,23,R,CN,0,0.000000,0
95,T,23,R,CN,0,0.000000,0
16,R,17,R,L,0,0.000000,0
16,R,18,R,L,0,0.000000,0
16,R,19,R,L,0,0.000000,0
16,R,20,R,L,0,0.000000,0
16,R,21,R,L,0,0.000000,0
16,R,22,R,L,0,0.000000,0
