con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1383412582,1357883617,1327883617,310024333.8,950289283.3,877120501.3,1475431144,1475431144,1475431144,267767978.9,922410219.4,872064227
1374587632,1335060175,1307934798,297709977.1,938686512.4,868059907.4,1480604682,1480604682,1480604682,269186459.2,918781906.4,887940638.7
1414432807,1396658897,1366658897,306912581.5,932453078.7,862488642,1472846126,1472846126,1472846126,238112057.8,913634287.3,870380201.6
1409266268,1388907340,1358907340,294130763.2,934513227.8,848941058.5,1462509551,1462509551,1462509551,287523142.1,944374906.7,894881681.1
1432510195,1427643636,1397643636,412114492,480442515,493840371.1,1462541533,1462541533,1462541533,513385480.8,549901103.6,532139618.8
1398908454,1391456877,1361456877,375325093.9,479518471.6,518811790.5,1421184737,1421184737,1421184737,487895215,505824270.4,497458562.8
1367884735,1363018177,1333018177,422154492.8,498129302.5,505909616,1408256147,1408256147,1408256147,508222087.2,544737602.9,526976222.7
1334823510,1341080819,1310893508,387267895.5,479785594.8,487511130.3,1402408109,1402408109,1402408109,574539673.5,601559792.8,585662575.3
1507950089,1497280025,1466967629,397063616.9,471094863.5,474838165.4,1539881233,1539881233,1539881233,494252672.1,511714744.4,501787333.6
1487273442,1476603377,1446290981,406795775.2,479970979.5,495363358,1519204586,1519204586,1519204586,489171253.2,526914656.6,508654634
1415851631,1405187914,1374869697,354463294.3,409374717.2,416353542.1,1455554258,1455554258,1455554258,463163374.7,473987211.9,468254775.6
1305812210,1295148493,1264830276,341814678.5,912360822.1,847795969.6,1345514836,1345514836,1345514836,299892008.3,901709838.5,701772803.9
1531513801,1536515458,1526365080,311942131.2,957531053,892039085.6,1686628838,1686628838,1686628838,220335534.6,926124120.3,701657354.4
1461067997,1466069654,1401798428,364822533.4,949973651.2,863706054.8,1697364307,1697364307,1697364307,279999955.8,890918939.8,689717410.2
1544830788,1549832446,1550020453,342355056.9,910414708.9,854284606.8,1699945824,1699945824,1699945824,254252052.2,867374751.8,670751410.3
1441762628,1449451597,1501073141,336382631.3,912409660.2,842390209.6,1705119361,1705119361,1705119361,290458786.3,884117329.5,688725668.9
1651464259,1661684882,1635444018,318853264.5,882970402.5,828942734.6,1662128759,1662128759,1662128759,265102532.6,876450712.7,678420320.9
1620447538,1628083142,1607012314,426403043.9,600081215.4,489477728.8,1633697055,1633697055,1633697055,389417770.6,542427555.8,530705352.2
1610105653,1620326275,1622518925,443213546.6,615337377,501483451.9,1644033629,1644033629,1644033629,404787140.2,557806093.1,551254089.3
1586843986,1591894572,1594087221,443604398.6,627312365.5,498920588.2,1620771963,1620771963,1620771963,409326135.4,555425057,547726939.1
1643282139,1650917430,1629846602,393971271.5,580245124,450813038.3,1610071973,1610071973,1610071973,375785895.5,532868223,522461358.2
1654017609,1661652900,1632827016,370239826,537441625.3,414475559,1596553897,1596553897,1596553897,244417901.6,451384017.3,443358890.3
1641090706,1656481053,1658673702,369173603.3,572193637.2,467651839.7,1625973983,1625973983,1625973983,242959747.5,416434895.8,415822287.7
