con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
2091534693,2098304116,2092861772,1001410170,1666323741,1683950462,2164719900,2164719900,2164719900,986244193.2,1666323741,1808274295
2091533818,2098303241,2092860897,1000917023,1665950183,1683766802,2164719025,2164719025,2164719025,984387716.2,1665950183,1806447405
2091533849,2098304960,2092860928,1020158826,1687883597,1704996852,2164720744,2164720744,2164720744,1006338606,1687883597,1828403464
2091532974,2098304085,2092860053,1000067369,1666109963,1683646162,2164719869,2164719869,2164719869,983406640.5,1666109963,1805446733
2091544699,2098312987,2092853593,1001014530,1665188390,1683782211,2164711030,2164711030,2164711030,985118502.1,1665188390,1806909858
2091543824,2098312112,2092852718,999996461.9,1665120502,1682879305,2164710155,2164710155,2164710155,986005701.6,1665120502,1808084501
2091543855,2098313831,2092852749,1000072841,1665859135,1682955276,2164711874,2164711874,2164711874,985248629.6,1665859135,1806863923
2091542981,2098312957,2092851874,1000291938,1665336077,1683171671,2164711000,2164711000,2164711000,984648596.2,1665336077,1806688884
2091527054,2098310610,2092876666,1017636937,1682854375,1700614794,2164734794,2164734794,2164734794,1006798931,1682854375,1828799009
2091526179,2098309735,2092875791,1017873279,1683140983,1700585052,2164733919,2164733919,2164733919,1010033109,1683140983,1832135402
2091526210,2098311454,2092875822,1017590197,1682952901,1700489737,2164735639,2164735639,2164735639,1008457386,1682952901,1830563860
2091525335,2098310580,2092874948,999991249.1,1665126254,1682870709,2164734764,2164734764,2164734764,985997106.1,1665126254,1808075906
2091535924,2098322068,2092867796,1000073723,1666030898,1682951288,2164725923,2164725923,2164725923,986290792.1,1666030898,1808347361
2091535050,2098321194,2092866922,1000035365,1665162909,1682917261,2164725049,2164725049,2164725049,984798260.4,1665162909,1806840759
2091535080,2098322913,2092866952,1000048983,1665178451,1682918664,2164726768,2164726768,2164726768,984543253.7,1665178451,1806187257
2091534205,2098322038,2092866077,1001528766,1666276974,1683794447,2164725893,2164725893,2164725893,984274846.4,1666276974,1806306977
2091528287,2098298131,2092850978,1000050151,1665168478,1682932942,2164227143,2164227143,2164227143,986313310.1,1665168478,1808366732
2091527412,2098297256,2092850103,1017798553,1683222675,1701134310,2164226268,2164226268,2164226268,1009061927,1683222675,1831334946
2091527443,2098298975,2092850134,1017848651,1683015562,1701288099,2164227988,2164227988,2164227988,1007295838,1683015562,1829500292
2091526568,2098298101,2092849260,1017495454,1682839085,1700148650,2164227113,2164227113,2164227113,1012523289,1682839085,1834329306
2091537158,2098307001,2092859532,1018088982,1683258285,1700978176,2164218273,2164218273,2164218273,1009550090,1683258285,1831572393
2091536283,2098306126,2092858657,998907943.3,1664067835,1681871212,2164217398,2164217398,2164217398,987441940.1,1664067835,1809779042
2091536314,2098307845,2092858687,1000139376,1665987668,1683020102,2164219117,2164219117,2164219117,987413319.8,1665987668,1809456328
2091535438,2098306970,2092857812,1000906267,1666207266,1683622160,2164218242,2164218242,2164218242,986292760.7,1666207266,1808323343
2091625047,2097619466,2093011092,1000047063,1665187999,1682933811,2163090099,2163090099,2163090099,986319725.8,1665187999,1808376295
2091624172,2097618591,2093010217,1000564069,1665734367,1682936375,2163089224,2163089224,2163089224,986902455.5,1665734367,1808912841
2091624203,2097618622,2093010248,997512714,1664086539,1681884440,2163089255,2163089255,2163089255,986280963,1664086539,1808316641
2091623328,2097617747,2093009373,1018138558,1683221665,1700941615,2163088380,2163088380,2163088380,1006468500,1683221665,1828548948
2092491098,2099148260,2093819125,1000834224,1666014392,1683584101,2165145060,2165145060,2165145060,985319421.7,1666014392,1807211593
2092490223,2099147385,2093818249,1000846928,1665830374,1682940849,2165144185,2165144185,2165144185,984324820.9,1665830374,1806144526
2092482177,2099139421,2093810107,1000026575,1665155108,1681598287,2165130730,2165130730,2165130730,987534592.9,1665155108,1809554633
2092481302,2099138547,2093809233,1000047439,1665172767,1682922034,2165129855,2165129855,2165129855,987256703.1,1665172767,1809342787
2091978947,2098710933,2093310400,1018023235,1683151889,1700903034,2164855567,2164855567,2164855567,1006800454,1683151889,1828800532
2091978072,2098710058,2093309525,1000040353,1665194237,1682929810,2164854692,2164854692,2164854692,984504975.5,1665194237,1806491150
2091970350,2098702336,2093317090,997854243.4,1664031530,1682115138,2164846970,2164846970,2164846970,985469526.2,1664031530,1807568485
2091969476,2098701462,2093316216,999312380.4,1665789286,1681979021,2164846096,2164846096,2164846096,984505357.2,1665789286,1806581436
2091987817,2098719803,2093319271,1017670462,1682705987,1700390918,2164846696,2164846696,2164846696,1008388657,1682705987,1830894999
2091986943,2098718929,2093318396,1000866493,1665836315,1683535534,2164845822,2164845822,2164845822,984819199,1665836315,1806810016
2091979221,2098711207,2093310675,1018429070,1683744118,1701017001,2164838101,2164838101,2164838101,1006324278,1683744118,1828389136
2091978347,2098710333,2093309800,998811961.3,1663908058,1681800397,2164837226,2164837226,2164837226,987196907.3,1663908058,1809276076
2091988028,2098720015,2093324409,1000450943,1665167947,1682935281,2164846485,2164846485,2164846485,986300647.4,1665167947,1808379447
2091987154,2098719140,2093323535,1017997306,1683072136,1700907103,2164845611,2164845611,2164845611,1009645057,1683072136,1831636107
2091981799,2098711419,2093331986,1018359161,1683580166,1700742888,2164837890,2164837890,2164837890,1008317670,1683580166,1830335013
2091980924,2098710544,2093331110,999896278.7,1664574610,1683632254,2164837015,2164837015,2164837015,985821596.5,1664574610,1807792677
2091996899,2098728885,2093333280,998589093.5,1663888674,1681580063,2164837615,2164837615,2164837615,985389118.7,1663888674,1807394817
2091996024,2098728010,2093332405,998589937.4,1663887830,1681579219,2164836740,2164836740,2164836740,985389962.6,1663887830,1807395661
2091988303,2098720289,2093324684,998932174.6,1664359909,1681679189,2164829019,2164829019,2164829019,987271032.5,1664359909,1809357116
2091987428,2098719414,2093323809,1000040718,1665173134,1682921979,2164828144,2164828144,2164828144,987025841.9,1665173134,1808695218
