con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1454.245747,1454.245747,1454.245747,1441.20319,1449.136639,1462.259593,1454.245747,1454.245747,1454.245747,1441.20319,1441.2027,1441.2027
1441.478739,1441.478739,1441.478739,1441.478685,1447.93174,1444.481455,1441.478739,1441.478739,1441.478739,1441.478685,1441.481627,1441.481627
1449.547322,1449.547322,1449.547322,1450.98319,1454.045766,1471.145902,1449.547322,1449.547322,1449.547322,1450.98319,1450.988092,1450.988092
1449.958693,1449.958693,1449.958693,1441.482621,1447.303173,1449.865223,1449.958693,1449.958693,1449.958693,1441.482621,1441.486968,1441.486968
1441.445813,1441.445813,1441.445813,1454.82584,1459.356776,1465.865803,1441.445813,1441.445813,1441.445813,1454.82584,1531.682805,1568.476592
1441.445813,1441.445813,1441.445813,1441.478685,1465.818255,1448.964277,1441.445813,1441.445813,1441.445813,1441.478685,2230.461687,1519.364202
1442.770364,1442.770364,1442.770364,1441.481106,2198.805941,1590.778517,1442.770364,1442.770364,1442.770364,1441.481106,1521.2071,1556.105397
1441.482373,1441.482373,1441.482373,1441.481106,1575.063297,1575.929578,1441.482373,1441.482373,1441.482373,1441.481106,1568.853037,1483.856864
1448.993176,1448.993176,1448.993176,1455.854015,1462.069386,1543.319582,1448.993176,1448.993176,1448.993176,1455.854015,1543.133891,2005.96583
1449.340787,1449.340787,1449.340787,1441.486244,1441.480571,1485.011303,1449.340787,1449.340787,1449.340787,1441.486244,1679.244493,2668.228614
1441.482373,1441.482373,1441.482373,1471.243095,1477.768552,1564.445246,1441.482373,1441.482373,1441.482373,1471.243095,1873.213503,1690.913784
1449.962327,1449.962327,1449.962327,1441.484265,1505.294713,2186.304354,1449.962327,1449.962327,1449.962327,1441.484265,1614.685524,1500.296821
1441.202526,1441.202526,1441.202526,1454.824323,1649.770269,2109.309881,1441.202526,1441.202526,1441.202526,1454.824323,1531.45892,1640.494886
1441.478739,1441.478739,1441.478739,1441.204198,1516.722384,1538.87213,1441.478739,1441.478739,1441.478739,1441.204198,1865.7681,1700.334354
1442.789369,1441.217925,1442.789369,1441.484265,1610.230538,1534.740328,1442.789369,1442.789369,1442.789369,1441.484265,2439.137746,1796.921629
