con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
6198462036,6198462036,6198462036,2275210214,2607178237,2509247396,6198462036,6198462036,6198462036,2275210214,2489117113,2504380390
6174778170,6174778170,6174778170,2267315591,2599283615,2503984314,6174778170,6174778170,6174778170,2267315591,2483854031,2496485767
6190567415,6190567415,6190567415,2272578673,2604546697,2511878936,6190567415,6190567415,6190567415,2272578673,2486485572,2501748849
6182672793,6182672793,6182672793,2264684051,2596652074,2498721233,6182672793,6182672793,6182672793,2264684051,2481222491,2493854226
6187935874,6187935874,6187935874,2269947133,2601915156,2506615855,6187935874,6187935874,6187935874,2269947133,2494380195,2499117308
6203725118,6203725118,6203725118,2262052510,2594020534,2501352773,6203725118,6203725118,6203725118,2262052510,2491748654,2491222686
6195830496,6195830496,6195830496,1705034480,2385810885,2360810885,6195830496,6195830496,6195830496,1705034480,2255810885,2153629737
6180041252,6180041252,6180041252,1707666020,2388442426,2363442426,6180041252,6180041252,6180041252,1707666020,2258442426,2148310885
6201093578,6201093578,6201093578,1718678346,2399454752,2374454752,6201093578,6201093578,6201093578,1718678346,2269454752,2164454752
6193198956,6193198956,6193198956,1716046806,2396823212,2371823212,6193198956,6193198956,6193198956,1716046806,2266823212,2161823212
6177409711,6177409711,6177409711,1721309888,2402086293,2377086293,6177409711,6177409711,6177409711,1721309888,2272086293,2167086294
6185304333,6185304333,6185304333,3154310463,3314775522,3236989640,6185304333,6185304333,6185304333,3154310463,3202005737,3192526032
6208988200,6208988200,6208988200,3162205085,3320038603,3247758884,6208988200,6208988200,6208988200,3162205085,3204637278,3195157573
6206356659,6206356659,6206356659,3167468166,3317407062,3245127344,6206356659,6206356659,6206356659,3167468166,3199374196,3197789113
6211619741,6211619741,6211619741,3159573544,3312143981,3234358099,6211619741,6211619741,6211619741,3159573544,3196742656,3189894492
6205998080,6205998080,6205998080,3164836626,3325301684,3242495803,6205998080,6205998080,6205998080,3164836626,3212774981,3187262950
6190208835,6179682673,6184945754,3156942003,3322670144,3231726559,6190208835,6190208835,6190208835,3156942003,3210143441,3181756788
