con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
321065810.3,322766523.8,271321329.2,433536921.8,1089891132,1089891132,411115468.9,615743568.6
321065232.2,322765945.7,271324561,433545534.6,1089890554,1089890554,411116959.1,615745144.4
321064317.2,322767930.9,271319179.3,433514460.9,1089891383,1089891383,411109177.5,615739103.7
321063739.4,322767353.1,271321030.8,433613912.9,1089890805,1089890805,411112704.8,615787405.1
321065151.4,322759067,271320388.9,433521963.1,1089886330,1089886330,411110387,615742191.8
321064574,322758489.6,271315864.6,433536922.6,1089885753,1089885753,411110004,615738190.1
321067468.9,322761385.9,271321328.5,433536923.2,1089886581,1089886581,411115468.3,615743448.5
321066891,322760808.1,271317439.4,433610386.1,1089886003,1089886003,411109178.6,615778413.5
321064230.4,322766272,271320009.7,433512971.2,1089891384,1089891384,411112324,615741421.4
321063653.2,322765694.8,271320006.7,433620848.8,1089890807,1089890807,411109178.4,615739932.1
321063239.5,322770247.5,271320586.2,433608067.9,1089890808,1089890808,411112325.4,615787852.5
321062661.4,322769669.3,271324477.3,433618531.3,1089890230,1089890230,411118617.1,615868974.8
321066310.2,322763868.9,271324029.3,433629013.2,1089890069,1089890069,411118169.1,615748923.2
321065732.4,322763291.1,271317690.9,433614556.9,1089889491,1089889491,411110832.2,615741811.6
321068715.9,322765275.6,271322243,433547852.9,1089889491,1089889491,411114641.1,615742826.4
321068137.8,322764697.5,271318897.3,433624376,1089888913,1089888913,411108068.6,615739251.7
321064405.4,322767929.9,271313052,433506678.1,1089893958,1089893958,411106859.5,615735870.7
321063827.4,322767351.9,271317439.2,433611213.9,1089893380,1089893380,411109178.3,615783877.5
321063238.4,322770248.3,271319475.5,433519645.6,1089893093,1089893093,411113532.6,615743459.6
321062660.3,322769670.2,271322903.5,433623995,1089892515,1089892515,411116873,615747627.2
321064659.7,322762128,271319094.4,433512972.3,1089889068,1089889068,411113151.5,615743078.6
321064082,322761550.2,271323731.4,433623995.4,1089888490,1089888490,411117787.4,615748541.5
321066976.5,322763618.8,271317177.6,433503532.6,1089888205,1089888205,411110005.1,615739017.4
321066399.2,322763041.5,271316728.3,433509377.8,1089887628,1089887628,411110385.6,615741139.8
321062087.8,322772817.5,271318183,433534603.5,1089894785,1089894785,411112322.8,615740422.4
321061509.8,322772239.6,271321392.4,433506770.2,1089894207,1089894207,411113150.6,615742162.8
321061600.6,322773309.2,271322242.1,433542387.7,1089893870,1089893870,411114640.2,615742825.5
321061022.9,322772731.5,271323732.4,433628632,1089893292,1089893292,411116049,615746803.1
321063166,322765276.1,271315867.5,433611213.7,1089889561,1089889561,411110007.3,615778413
321062588,322764698.2,271322240.6,433510743.9,1089888983,1089888983,411116296.5,615745396.5
321062999.8,322767592.9,271324474.9,433540069.3,1089888981,1089888981,411118614.7,615745544.8
321062422.1,322767015.3,271322836.6,433513352.8,1089888404,1089888404,411113532,615742768.8
321064314.1,322768758.1,271321411.9,433627717.9,1089895742,1089895742,411113152.7,615743078.1
321063736.2,322768180.2,271318270.6,433630287.9,1089895164,1089895164,411111497.1,615742251.3
321066634.4,322772819.2,271319986.4,433508995.8,1089894916,1089894916,411110005.1,615739930.1
321066056.2,322772240.9,271315948.3,433509826.1,1089894338,1089894338,411110005.3,615739932.4
321066221.9,322767352.3,271322492,433510737.8,1089889646,1089889646,411110835.6,615741588.7
321065644.3,322766774.7,271318565.7,433621033.6,1089889069,1089889069,411112705.5,615788232.1
321066971.6,322767930,271328451.5,433621677.2,1089890812,1089890812,411122591.3,615865828.5
321066393.7,322767352.1,271323155.7,433615384.2,1089890234,1089890234,411116299,615872120.9
321063090.6,322770989.7,271323303.9,433618531.7,1089894446,1089894446,411116873.4,615747627.5
321062512.6,322770411.7,271323449.1,433623463.3,1089893868,1089893868,411112620.4,615877715.6
321066971.8,322773311.7,271322043.3,433622057.5,1089893872,1089893872,411111214.6,615876309.8
321066394.1,322772734.1,271325005.2,433627522.3,1089893295,1089893295,411116680.2,615885087.4
321063433.3,322765275,271317692,433620021.3,1089893214,1089893214,411110833.3,615739845.2
321062855.5,322764697.2,271324362.4,433629841.2,1089892637,1089892637,411113534.1,615744287.8
321065568.3,322766680.2,271318563,433541276.3,1089892637,1089892637,411112702.8,615740802.4
321064990.8,322766102.7,271317244.2,433516498.2,1089892060,1089892060,411109558.5,615741363.1
321063006.1,322771076,271323732.1,433604921.3,1089896276,1089896276,411115471.3,615784705.9
321062428.9,322770498.8,271323980.8,433623995,1089895699,1089895699,411113152.4,615743906.2
321066970.8,322775134.7,271316861.3,433512142.9,1089895360,1089895360,411106859.5,615736785.7
321066393.1,322774557,271324366.9,433627522.7,1089894782,1089894782,411116681.7,615748692.5
321061692.4,322764360.7,271324887.3,433624823.1,1089891389,1089891389,411119027.1,615749781.2
321061114.7,322763783,271325726,433624571.6,1089890812,1089890812,411116299.6,615744566.9
321064652.2,322769333.2,271323981.5,433617702.9,1089890476,1089890476,411113152.8,615867318.8
321064074.3,322768755.4,271320417.6,433626228.6,1089889898,1089889898,411114557.7,615745311.5
321063426.9,322775049.3,271320754.3,433608066.9,1089896189,1089896189,411112324.8,615781558.9
321062849.3,322774471.6,271324808.4,433624822.6,1089895611,1089895611,411113979.7,615868146.4
321063826.1,322772972,271323732.1,433630288.6,1089895274,1089895274,411115302.6,615746056.7
321063248.5,322772394.4,271323156.7,433620848.3,1089894696,1089894696,411115471.5,615744568.2
321060020.1,322767595.4,271325965.4,433541559.6,1089889309,1089889309,411120105.2,615747035.4
321059441.9,322767017.2,271318267.3,433623166.8,1089888730,1089888730,411111495,615744957.8
321060681.8,322766430,271323397.9,433621677.2,1089888732,1089888732,411117537.7,615748291.8
321060104.3,322765852.5,271316840.3,433505849.7,1089888154,1089888154,411106859,615736784
