con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
10225.69722,10213.6285,19106.97785,19026.85904,26303.39278,26303.39278,16948.97897,17151.89319
8599.360582,8514.949211,20816.92686,20338.18194,23785.80809,23785.80809,15347.37994,16517.64158
14159.11667,14145.31231,18502.25076,17876.31227,24478.83632,24478.83632,11109.09001,12691.29228
13570.59474,13635.24093,18413.57241,20278.09575,25126.93565,25126.93565,17338.15349,17914.32004
14358.14748,14376.77311,21198.68125,20763.29276,15981.33629,15981.33629,15490.08942,16028.37241
11046.26826,11035.18879,22096.36165,21654.1805,18891.53727,18891.53727,16558.91476,16665.20942
19398.81259,19422.81883,26765.30628,25695.86003,42744.73432,42744.73432,17700.69918,20191.01604
12347.43297,12333.67111,21537.4831,20444.90351,36752.1896,36752.1896,19693.99498,17730.05663
9966.840246,9950.713319,27740.77909,26579.32312,35659.11121,35659.11121,14224.90281,15004.52354
11809.28283,11791.66379,22693.59194,21933.57608,32980.82181,32980.82181,16030.69023,15925.56887
11435.35898,11346.35816,24156.73308,22885.82017,36831.94814,36831.94814,14517.61853,15601.16372
11260.47842,11269.67173,19148.79175,18659.59137,50528.04271,50528.04271,14033.65186,13582.28609
11830.24278,11807.2357,17799.28061,17676.70001,57322.44301,57322.44301,11645.17493,11480.11726
10976.84225,10962.32722,20565.34703,20049.21801,42630.01581,42630.01581,14060.13837,14767.56652
11598.10874,11577.95851,21676.72094,20930.51479,51391.32443,51391.32443,16453.2001,17275.94514
10560.65869,10544.27606,17356.31866,17684.74955,48220.57166,48220.57166,17423.50663,16548.06275
13541.62484,13516.80619,18023.08023,17982.9334,58721.02842,58721.02842,19936.05184,17779.26625
15053.82026,15106.46506,17809.59882,17908.39077,44187.57067,44187.57067,12582.69227,12708.55675
12990.48115,12978.7143,19088.63748,18519.38161,50048.9732,50048.9732,14487.01794,14456.95836
12103.81945,12082.54614,17629.40796,17953.26846,44894.61824,44894.61824,16456.84701,16790.4512
14334.61427,14289.92226,18890.03074,18689.03686,45803.28603,45803.28603,16069.62554,15556.68257
12230.41361,12276.31479,17533.60557,18024.77357,32352.1858,32352.1858,19172.05595,18414.64156
14037.77921,14017.30601,15844.62772,16404.5721,59205.44137,59205.44137,11386.85504,11958.13756
10662.67874,10655.54708,21083.94086,20759.54461,48711.64994,48711.64994,15170.24006,15551.58431
11529.04243,11518.16221,19709.36628,20037.1431,51894.63751,51894.63751,17498.40947,16162.7138
12637.43656,12652.22118,22073.5253,22223.23682,37999.87823,37999.87824,27253.05225,25379.26369
15426.18026,15308.76242,18413.51949,18034.39718,58729.11448,58729.11448,15403.89885,14166.11638
13293.30659,13358.71642,20074.23422,19707.90765,51837.13555,51837.13555,22168.00757,20594.84056
13414.55814,13414.97454,18090.3918,18055.46186,60928.16581,60928.16581,23857.50799,23065.76617
13832.38105,13628.08286,15297.33658,15795.81933,58325.06632,58325.06632,10891.99097,11078.81292
9380.528374,9363.88161,20152.69058,19868.00832,24425.96693,24425.96693,32620.8697,31399.67617
8636.020294,8688.882553,23148.00633,22767.81687,23564.20731,23564.20731,23091.42465,23201.90453
14094.40792,14110.7759,21802.79237,21830.41676,21897.56854,21897.56854,20389.95211,19452.51706
14036.906,13998.67081,17534.72349,20067.82507,25551.72337,25551.72337,12320.32112,14321.14264
12985.47284,13113.79434,17567.79367,17694.4149,14917.30074,14917.30074,11537.50272,11799.40885
11178.98051,11146.90811,17873.2488,18367.96579,15983.44475,15983.44475,13926.04676,14060.19018
18600.00839,18717.47542,18222.98945,18138.91103,38099.53539,38099.53539,14783.6777,13630.90904
13291.24865,13346.10498,18897.78621,18943.87725,38416.75268,38416.75268,15404.36634,15670.66951
9882.521188,9876.031418,20735.12937,20451.16154,33884.77719,33884.77719,13527.72056,13557.10408
11773.82323,11799.89777,18796.78649,18937.79197,33534.34858,33534.34858,12524.1259,13545.59529
10905.3907,10912.40136,17250.88221,17528.82115,33186.60471,33186.60471,14476.58037,14623.20938
11456.09023,11442.2323,17820.85182,18013.97363,49943.24901,49943.24901,13799.41064,14474.65532
11189.65196,11169.89582,17076.16485,20091.72885,51734.52226,51734.52226,13372.8403,15688.08195
11561.52025,11604.99251,15773.56097,16025.73761,40511.90854,40511.90854,11050.58228,11839.8403
11447.68291,11454.63119,18068.01294,17838.9364,48191.92502,48191.92502,15967.64009,15439.16485
11064.86641,11077.09668,20661.38858,20495.64977,48798.52547,48798.52547,19251.96916,18308.43435
13220.40314,13192.18501,17219.36286,17327.65223,53864.87503,53864.87503,15244.20596,15843.70143
15623.66319,15647.33192,17084.99474,16702.73455,44657.8079,44657.8079,10878.26787,11084.49765
12523.67562,12467.78351,19959.48907,19680.34392,47709.41742,47709.41742,14216.06582,13898.11274
12392.20462,12287.13363,18890.80933,18848.68506,46646.37117,46646.37117,14320.96744,14561.11589
14039.28278,14005.79602,19317.53355,19104.01085,43274.8016,43274.8016,12029.8122,12498.80949
12688.80785,12714.65848,17791.58579,17154.45512,36299.27003,36299.27003,12390.01016,12209.56684
14104.39111,14106.19228,17884.09675,17773.75682,46045.69633,46045.69633,12469.65214,13318.60366
11002.96733,11024.86186,19788.43635,19113.38354,48798.71723,48798.71723,18061.65427,17544.98918
10743.6551,10772.8075,26026.84534,24968.76274,48818.09488,48818.09488,12967.81554,13321.7008
12877.73331,12946.87836,20929.39489,19920.46713,45174.45672,45174.45672,12974.63777,13108.31102
14759.72014,14666.71113,26793.35637,26095.96746,54830.74068,54830.74069,26218.1939,25096.07523
15482.97172,15414.6225,27183.75684,25939.74229,53152.57393,53152.57393,18591.11241,18079.42297
12990.1976,12848.60496,26496.78324,25263.39797,56682.34042,56682.34042,21153.11845,20972.23982
14355.172,14359.94046,22762.51463,22400.88495,59182.68417,59182.68417,20653.6259,20681.97206
9381.926533,9477.745999,22908.13135,22580.96598,23815.8641,23815.8641,18330.42818,18406.097
7916.212732,7969.456773,18661.78745,18015.47999,21476.95439,21476.95439,13722.20514,13561.54361
14820.09265,14681.26459,20878.7337,20753.05141,21630.31957,21630.31957,17064.62028,17948.33196
14465.72868,14497.41657,20559.37534,19913.34164,25189.33874,25189.33874,17143.26414,16472.4401
14114.49408,14203.27715,19778.29044,19802.68744,14971.32426,14971.32426,15331.15289,16041.48766
11726.39292,11522.65093,22663.43468,22127.94738,18079.56306,18079.56306,16234.96115,15919.68431
19110.56448,19115.97969,21961.2224,21588.87076,38724.96676,38724.96676,12208.14073,12321.6863
13782.80107,13795.46457,22614.75191,21835.47017,37079.04512,37079.04512,19494.12495,18695.20086
9981.046179,9985.665691,20588.14143,20223.42054,33253.77507,33253.77507,14855.42701,15166.19982
12294.41349,12235.52578,20431.05094,18955.29001,33023.08664,33023.08664,15156.87053,14511.10738
