con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
17739.01874,17628.82652,20444.7625,21346.99446,41722.34541,41722.34541,15766.11786,15300.12444
18346.93585,18352.23417,18669.66201,19456.78094,50798.44986,50798.44986,15121.16698,15624.86469
16921.7052,16843.2525,17560.558,18825.39426,41763.50606,41763.50606,14415.71124,14399.13072
25933.12778,27170.1576,18202.00717,19214.13821,34905.54598,34905.54598,15919.73977,16489.46802
19418.3184,19593.07092,21758.11084,22910.31191,33374.95524,33374.95524,17259.8921,16487.97286
19720.40892,19783.75801,21647.14323,21813.20224,39986.20777,39986.20777,17565.21286,18120.80017
20479.76147,20484.24672,24782.58117,26090.25288,43901.29621,43901.29621,19019.31827,18527.13883
23087.49864,23640.78955,25780.17034,26545.37689,46742.88992,46742.88992,18908.57689,19044.33627
18469.97715,19237.57616,26425.19515,27454.4216,39368.10247,39368.10247,18944.18806,19364.2918
20210.97156,20284.00784,23582.67162,24602.34289,36155.79222,36155.79222,15491.07069,16076.92574
19081.45539,19357.82918,25147.63161,25862.79701,25932.93945,25932.93946,16718.02454,17436.61871
18369.95948,18410.61332,23673.1957,24793.56785,27263.19636,27263.19636,15918.85844,17558.27024
17907.95958,17900.24071,24064.95127,25156.42078,16081.46508,16081.46508,23719.51446,23506.472
17259.86601,17011.4713,23959.54143,25510.49247,30617.41263,30617.41263,17500.21957,17105.9862
16813.58364,16304.1972,23708.82239,25525.33157,31656.51655,31656.51655,18546.41731,19411.36837
22645.36112,23013.65989,24722.70952,26976.43292,19804.01619,19804.01619,17131.75818,18247.51477
17109.82063,17568.95265,22965.01923,23843.87872,18873.27562,18873.27562,19667.93993,18633.6298
15545.42959,15215.73302,22442.23255,23447.48122,19232.79995,19232.79995,19264.25355,18871.27676
20803.21528,20452.0587,22495.58565,24091.92384,36865.27176,36865.27176,19752.74146,20190.51402
24988.08901,25706.70551,24722.15933,25883.32236,36445.76381,36445.76381,20435.17592,20742.83686
19873.92095,20203.94375,22219.74067,23115.19026,35375.19241,35375.19241,19379.90782,18136.59303
17476.28753,17661.26855,22507.85193,23555.79573,31355.72397,31355.72397,19649.10394,19510.47535
17763.87143,17694.39389,20916.00203,22076.0066,32180.43526,32180.43526,15325.05979,14978.82347
17225.28184,18349.17099,23708.86042,24782.24528,26589.85166,26589.85166,16501.34084,16253.86314
21703.14092,21847.12679,21558.02259,24153.74164,42832.49616,42832.49616,20007.64399,20654.5721
21914.55253,22384.69981,26794.49666,26883.87706,45005.21053,45005.21053,18915.4064,19620.17327
21514.17443,22180.02951,34056.19229,33319.52851,43094.38466,43094.38466,31025.08721,29755.39662
22902.11806,23137.90522,31674.52454,31568.41949,39853.31278,39853.31278,24473.86721,25365.17295
23916.93929,24245.85369,28439.08657,28467.6717,28914.67069,28914.67069,22605.55262,23223.82704
22979.59572,23265.72026,28665.05941,28966.81363,25837.61417,25837.61418,18958.62081,18883.20807
24868.65861,24957.38597,29725.80743,29479.7187,44547.6925,44547.6925,26824.20401,26391.8687
20679.88155,21482.35494,30390.02442,30270.67468,45841.76967,45841.76967,28388.29939,28222.76566
21308.01183,21421.46196,29907.36842,29824.49169,46535.18634,46535.18634,21677.66552,22124.1161
20632.05228,20442.84362,25729.4752,26092.01428,49259.73087,49259.73087,26725.96803,24921.57227
23516.1402,23483.02557,29355.95909,29031.12356,44703.67704,44703.67704,29901.32699,30602.92327
22660.93455,23193.3191,27943.16876,27700.98502,45030.06671,45030.06671,19887.2911,20653.29196
19874.20514,19890.90406,28708.37348,28974.57543,42251.02709,42251.02709,26838.21023,26402.5962
22327.75495,22679.15908,26959.22647,26993.04638,41318.89864,41318.89864,22634.82981,22429.75791
19021.82468,18778.23006,26716.00518,27604.43215,28256.80522,28256.80522,20112.56896,19409.57993
18217.49348,18161.89049,26558.97111,27717.55825,30627.76501,30627.76501,23545.02194,21322.92388
18625.25932,18277.8669,28068.58815,28434.98497,31103.53278,31103.53278,18690.52854,21055.67554
20780.78289,20194.77025,34340.05576,34674.54332,25167.72705,25167.72705,25527.35813,26740.4789
17664.54729,17875.88752,28190.15454,28677.14712,24999.79347,24999.79347,24214.35069,24348.48946
16438.85684,16162.00457,29433.67046,29061.1544,27853.62336,27853.62337,26152.67423,24499.15966
16093.16702,15892.47214,29621.98051,30356.44112,24847.31427,24847.31427,33862.7345,30696.15073
21780.78178,21337.31189,30566.47692,32373.77213,27690.87775,27690.87775,23645.1924,23841.45503
15610.42016,15495.06316,28379.27017,28742.44587,25387.19129,25387.19129,24274.52425,21204.90818
14052.68293,14056.62509,26912.20347,27660.06696,24977.0763,24977.0763,18160.76698,18574.21471
24345.48645,24337.08011,29603.92697,29212.89626,24111.90685,24111.90685,22835.335,22634.99314
20275.08057,20063.51795,28137.29939,28394.38835,22394.55718,22394.55718,25752.94303,24795.60779
17592.91943,17602.64163,25672.26983,28312.26014,24491.22497,24491.22497,14846.81658,15910.43899
18416.62333,18429.33777,24077.42274,24733.97675,29109.03536,29109.03536,19342.41792,20091.84627
19138.11803,19192.90124,21035.51923,22212.06968,36004.7502,36004.7502,15460.53383,15729.50159
21419.37902,21612.52591,23898.94997,24680.28001,29455.43933,29455.43933,16736.85435,17103.98565
16948.74616,17119.29632,23715.33487,24911.22854,26606.2339,26606.2339,18491.01254,18741.36391
17505.1765,17647.07834,25387.77874,25658.48112,26070.76141,26070.76141,18965.09859,19351.35391
16465.23104,16695.77158,26126.40112,26831.88159,27524.09265,27524.09265,18312.03089,18091.13643
21111.86435,20897.16515,25191.71898,25165.65425,27011.23614,27011.23614,22117.53606,20955.75799
21444.68507,21496.59789,25696.93779,26283.19499,24165.32868,24165.32868,21050.42167,20861.62671
19062.61387,19243.82431,26793.8583,27648.13417,30239.89696,30239.89696,20853.65196,21831.36941
17021.88806,16681.73267,23200.56937,23494.08432,35309.64022,35309.64022,19331.12175,19220.10283
18213.32443,18287.57351,23593.35077,26221.43742,40787.62846,40787.62846,18827.13869,19695.69813
16459.57152,16376.62096,22078.39428,23219.71973,36497.76276,36497.76276,16967.00126,17265.86818
24326.83709,23818.2606,24240.79344,24936.76491,43898.6625,43898.6625,16229.94521,16590.77485
19435.09835,19148.54454,24775.24336,25429.41222,34425.13834,34425.13835,17841.50002,18833.2725
19887.79337,20021.63414,25327.90269,26087.63137,30892.88478,30892.88478,18945.86988,19018.99276
19264.0003,19428.93984,23613.47696,24255.86454,33320.98576,33320.98576,16056.41162,16402.82953
23891.48897,23585.04858,26539.84336,26682.07386,34275.18982,34275.18982,21408.96247,21586.82981
19554.50947,19471.22411,22116.9706,22711.15891,35979.96724,35979.96724,17561.51701,18828.41764
18983.41498,19453.62517,23030.04323,22987.85227,30872.10745,30872.10745,17660.5179,18634.30691
18813.75227,18646.59715,23197.41969,23781.14139,22863.45844,22863.45844,19815.5937,18923.19996
19884.09942,19492.40512,26240.63449,26064.46865,29921.25972,29921.25972,15354.92826,16348.38138
18316.8237,18220.8574,24136.99994,24202.54179,19711.30611,19711.30611,19131.23355,19907.07995
18006.31635,18110.21866,21873.07201,22358.71978,26950.02125,26950.02125,16214.07598,16226.24838
17248.93426,17361.74959,23536.96768,24457.84377,27962.24846,27962.24846,17330.67941,18206.16744
21957.21115,21991.21909,23405.42529,24086.9664,21874.00186,21874.00186,17222.74924,18155.16884
17448.6188,16788.85101,23491.2552,23844.4336,24215.44842,24215.44843,18788.51874,18897.5751
15215.34094,15051.96945,22102.76932,22855.87687,23200.91224,23200.91224,14865.29162,15374.29194
20424.62308,20634.91132,21557.16304,21994.5973,31418.63641,31418.63641,15991.25645,16565.48529
