con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335918406.9,336544520.6,218243840.1,243664199.8,992522396.7,992522396.7,485835408.5,550871898.8
335919326.3,336544771.3,218249752.1,243670941.3,992527453.4,992527453.4,485836620.4,550873110.7
335918748.5,336544193.5,218237164.1,243753386.5,992526875.6,992526875.6,485830327.1,550934628.7
335917445.6,336542783.5,218244457,243762658.7,992528030.7,992528030.7,485830326.7,550923699.8
335916867.4,336542205.3,218243458.1,243761419.1,992527452.5,992527452.5,485826519.1,550974566.8
335919226,336538807.4,218247899.8,243763204.9,992522648.6,992522648.6,485835576.2,550939814.2
335918648.4,336538229.8,218243461.2,243663820.9,992522071,992522071,485826519.7,550920175.3
335919562.2,336540885.1,218243459,243664648.1,992523227.9,992523227.9,485830327.3,550866817.6
335918984.1,336540307,218246607.7,243667711.5,992522649.8,992522649.8,485829666.2,550929614.4
335922256.2,336541711,218248559.8,243759229.4,992526537.6,992526537.6,485831598.3,550930372.6
335921678.7,336541133.5,218237168.1,243663665.8,992525960.1,992525960.1,485830326.9,550926466.9
335920765.6,336542287.9,218242055.4,243662330.8,992526624.8,992526624.8,485828835.8,550923320.4
335920188.4,336541710.7,218240313.9,243666811.7,992526047.6,992526047.6,485829663.4,550929612.8
335919311.7,336544114.1,218240315.3,243664221.6,992522650.4,992522650.4,485823373.8,550923322
335918734.1,336543536.4,218246161,243669155.5,992522072.8,992522072.8,485829219.4,550922875
335919477.9,336543622.8,218247071.5,243755256.9,992523227,992523227,485833919.7,550938984.4
335918899.5,336543044.3,218243459.2,243665475.7,992522648.6,992522648.6,485831980.6,550926465.8
335920389.6,336542710.6,218244370.3,243664648.1,992526047.4,992526047.4,485834132.2,550870622.5
335919811.9,336542132.9,218252983.6,243670773.9,992525469.7,992525469.7,485832646.5,550869136.8
335918072.6,336541545.3,218246606.2,243667795.3,992526626.8,992526626.8,485833474.5,550869964.7
335917494.4,336540967.1,218249752.3,243670941.4,992526048.6,992526048.6,485836620.5,550873110.8
335917355.3,336535037,218244371.3,243765142.6,992516312.1,992516312.1,485832809.4,550929991.6
