con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1054.561395,1054.480686,1054.562662,20738.29682,20669.67181,20717.12874,1054.389412,1054.389412,1054.389412,17464.28608,17771.06543,17783.46821
5864.068768,5507.835112,7392.88882,23189.6835,22524.21006,26666.93913,7673.273065,7673.273065,7673.273065,15724.23018,15861.32604,16487.9735
1054.275549,1054.416547,1054.326686,20160.96011,22890.33263,22097.54119,1054.501437,1054.501437,1054.501437,14122.28333,14550.06356,14351.11916
6444.221592,5722.831363,6120.769399,24080.25172,22822.95845,24229.30646,9630.183443,9630.183443,9630.183443,15029.21315,14862.19906,14741.56808
1054.508669,1054.391901,1054.521387,24356.36733,23722.53993,21918.8157,1054.295959,1054.295959,1054.295959,15564.66976,15493.12729,15158.01529
6812.649867,6720.510175,6036.20286,13851.98584,12770.22868,13147.09249,8251.065604,8251.065604,8251.065604,13712.10283,13068.94851,13210.38701
1054.301213,1054.38946,1054.312973,30905.73259,30336.08446,30485.19216,1054.425869,1054.425869,1054.425869,16792.59758,16678.24041,16352.92843
6114.67496,6163.154047,6796.062106,20978.60652,22787.75158,22305.36998,7974.738518,7974.738518,7974.738518,14974.19466,15117.41434,15074.81796
1054.527499,1054.528382,1054.552807,18873.83091,25631.24575,24627.85152,1054.342856,1054.342856,1054.342856,13529.70759,13544.04808,13549.73345
5705.659608,5457.513705,5818.209051,20229.61537,25334.36983,25393.82251,7733.867242,7733.867242,7733.867242,13529.64072,13529.59478,13527.11558
1054.457632,1054.300969,1054.312267,19130.06215,26583.21941,28064.66495,1054.461209,1054.461209,1054.461209,15080.77151,15080.61483,15080.57104
6336.167094,5378.385829,5650.487704,14723.65417,13231.59125,13506.67404,7002.290101,7002.290101,7002.290101,14460.65871,16338.53913,15329.55512
1054.586919,1054.624398,1054.616376,28570.73768,28106.94022,29842.08457,1054.356213,1054.356213,1054.356213,16693.33767,17094.72197,18175.47175
6511.282219,6214.628481,6145.219114,17566.93028,16637.37667,17239.54989,8383.574009,8383.574009,8383.574009,13960.41311,14526.30879,13992.59896
1054.352939,1054.353688,1054.345832,15159.36787,15385.24451,15468.28889,1054.598779,1054.598779,1054.598779,12594.093,13336.78377,12800.32102
8003.485144,7349.588589,7571.302141,17453.89765,17439.54496,21659.8306,9588.834546,9588.834546,9588.834546,14994.59438,15294.14105,15023.0994
1054.533027,1054.343657,1054.427451,16231.956,21504.96643,15949.82233,1054.346589,1054.346589,1054.346589,14936.86756,14579.69216,14660.84716
6107.744776,5738.639493,6043.62952,14213.23081,14888.6024,13248.46806,7851.226761,7851.226761,7851.226761,15080.70657,15178.18923,15080.82613
1054.345004,1054.534355,1054.458605,12249.85654,12477.10359,13948.00354,1054.564653,1054.564653,1054.564653,15080.70657,15206.39816,15113.91178
6148.242911,5881.542398,6274.989652,12720.48607,11550.8547,13627.79803,8210.472017,8210.472017,8210.472017,15080.70658,15811.54621,15181.92721
1054.49276,1054.305456,1054.428219,16291.81192,18841.37756,16487.96213,1054.268465,1054.268465,1054.268465,15431.25547,15585.3161,15598.19509
5946.867791,5761.561556,6711.643988,15514.28565,15877.74846,15601.20795,6836.777327,6836.777327,6836.777327,17166.26038,18347.02931,17012.03255
1054.287853,1054.492461,1054.38782,23079.07356,20116.30662,20961.97739,1054.521611,1054.521611,1054.521611,16891.68918,17093.61863,16891.79502
8629.639424,7453.941043,8341.767719,17984.76883,19070.76498,18557.92291,7322.01444,7322.01444,7322.01444,16658.84057,17457.83306,17278.20641
1054.648086,1054.648063,1054.648063,17628.4713,16926.8946,17260.90801,1054.648086,1054.648086,1054.648086,13558.67354,13322.61412,13150.80282
4868.830371,4673.7511,5069.607481,19105.71731,19826.86533,19272.09487,5649.380983,5649.380983,5649.380983,14570.8831,14421.5524,14398.74381
1054.205842,1054.205782,1054.205782,13314.29458,14054.3124,13715.1421,1054.205842,1054.205842,1054.205842,15705.81233,16117.65633,15822.86358
9502.42661,9211.621793,9466.39606,16808.17723,14164.35083,14338.64645,5275.90434,5275.90434,5275.90434,14193.52262,14401.94436,14256.39897
1053.009473,1053.009473,1053.009473,21735.91307,21612.44069,20304.46855,1053.009473,1053.009473,1053.009473,13382.93658,13966.85818,13626.37459
8000.80574,8185.959977,8318.722115,17192.46198,17013.30004,17126.9787,8851.329473,8851.329473,8851.329473,15380.74937,15699.32499,15579.69579
1054.198561,1054.198561,1054.198561,13596.41772,13368.13344,14064.80401,1054.198561,1054.198561,1054.198561,17225.35443,16969.52489,16418.04009
17327.21813,19322.01014,17627.88777,14141.16809,14398.16884,15356.92668,10899.69065,10899.69065,10899.69065,15001.9303,15403.74205,15111.32547
1054.214923,1054.203294,1054.200918,18197.93466,14668.05966,15204.85568,1054.19606,1054.19606,1054.19606,14974.28021,15520.87916,15053.93711
6896.63489,7261.779275,7128.67743,15464.11825,15568.76387,15717.65549,7402.061408,7402.061408,7402.061408,16082.54518,16613.44369,16215.87502
1054.216327,1054.206542,1054.21341,13200.60435,12890.79539,13071.96981,1054.336459,1054.336459,1054.336459,16824.20574,17121.01573,17107.12257
7169.746367,7757.556613,7283.003116,15164.4466,14958.62907,14588.36203,8207.684747,8207.684747,8207.684747,15309.60466,15835.03765,15278.25401
1054.213493,1054.197409,1054.197391,13495.1647,14451.09489,14069.52722,1054.291738,1054.291738,1054.291738,15955.49479,16513.71383,15863.46601
7469.732543,7642.27898,8063.283102,17674.47627,18180.87949,18532.95899,8838.232837,8838.232837,8838.232837,14613.69093,14496.8118,14196.38773
1054.196254,1054.198703,1054.201035,16398.92286,13950.19947,13353.8321,1054.194267,1054.194267,1054.194267,14759.94144,15842.53719,15203.67792
7133.814471,7258.389906,7875.366865,14915.10123,15753.97288,14370.35336,8865.884437,8865.884437,8865.884437,16904.30139,16897.9576,16773.99955
1054.240441,1054.253835,1054.240434,16024.90187,15756.54517,15558.61145,1054.240439,1054.240439,1054.240439,15025.98846,16435.4593,14716.92629
8266.859494,7821.632381,8912.124452,13571.48383,13950.65044,14270.48554,8970.298905,8970.298905,8970.298905,15446.30477,15216.07484,15102.58995
1054.254328,1054.260685,1054.25179,25013.497,23499.29966,14716.34482,1054.40263,1054.40263,1054.40263,15079.51983,15177.16158,15368.03187
7279.86055,7749.889378,7816.184421,14373.98569,13480.29615,13963.71375,8981.398575,8981.398575,8981.398575,16219.86355,17332.51002,15979.18767
1054.211462,1054.196266,1054.244916,9145.818844,8351.68596,8767.397953,1054.297596,1054.297596,1054.297596,12818.35081,12808.92361,13016.0301
8144.020204,7744.265432,8035.82194,9471.556598,8403.900126,8322.059763,8464.341796,8464.341796,8464.341796,8327.748693,8349.321499,8230.165691
1054.224036,1054.209976,1054.221204,14344.4359,14702.8904,14524.58913,1054.205996,1054.205996,1054.205996,18699.14906,20146.63054,18523.11508
8164.820491,7107.961443,6802.058177,16887.49802,16482.75116,17372.1182,8628.285423,8628.285423,8628.285423,19188.33865,19624.08649,19044.30817
1054.203763,1054.20615,1054.20615,14246.51005,14479.19747,15814.98332,1054.295678,1054.295678,1054.295678,19926.8879,20781.39742,20341.4437
6843.686997,6797.983195,6834.724849,15124.3505,15491.12745,15429.68677,8729.775998,8729.775998,8729.775998,15449.4893,16414.51017,15492.78094
1054.360155,1054.456824,1054.456824,14662.46936,14115.62122,14097.97192,1054.519306,1054.519306,1054.519306,12554.64787,12732.43149,12677.31393
6936.929789,6930.42305,6904.887959,13043.68538,12602.46414,12298.376,8714.464402,8714.464402,8714.464402,17206.07745,16792.3548,16796.78378
1054.375924,1054.512405,1054.512405,19249.70903,14801.93528,14748.66635,1054.436853,1054.436853,1054.436853,15427.10161,15949.59774,15356.58725
9418.603916,9209.304798,9292.20331,15692.88336,16436.6982,17094.82794,9525.202716,9525.202716,9525.202716,16206.87088,16229.65495,16085.42747
1054.207928,1054.196265,1054.196265,12722.44141,12606.42971,13875.95491,1054.205821,1054.205821,1054.205821,15080.7722,15080.30133,15080.56958
7732.4638,7534.526382,7690.605136,18333.95075,17116.34739,17772.14109,9776.968086,9776.968086,9776.968086,17035.00587,16931.93372,16841.18777
1054.300587,1054.310279,1054.299846,28428.50598,17929.47738,20819.96525,1054.434513,1054.434513,1054.434513,15093.60031,15717.48046,15051.99761
12449.495,10252.10419,9817.394177,15142.33463,17227.20832,17095.65684,11096.30068,11096.30068,11096.30068,16058.23579,16364.14414,16219.37157
1053.009473,1053.009473,1053.009473,19268.80931,15591.80774,19406.5418,1053.009473,1053.009473,1053.009473,16448.45571,16977.95343,16374.97117
8901.90307,8995.254755,8413.864113,17711.13632,16359.30488,17568.97957,10859.30398,10859.30398,10859.30398,19881.55414,20317.97693,19930.5508
1054.395897,1054.395917,1054.300965,11922.33807,10709.41386,11455.81687,1054.42896,1054.42896,1054.42896,15847.83749,15767.87625,15560.751
5747.596543,6724.730111,4879.901138,16288.85376,15152.32714,15976.41419,10628.16707,10628.16707,10628.16707,14983.76083,15393.96493,15265.56593
1054.457873,1054.457873,1054.552816,17658.04129,15551.69024,20895.73358,1054.523607,1054.523607,1054.523607,13197.31109,13430.1858,13231.56888
5829.063212,7822.161583,5374.219084,18442.881,20362.21533,19421.68548,10259.03917,10259.03917,10259.03917,13828.80513,14489.32103,14790.1012
1054.507191,1054.485062,1054.438078,22562.89228,19939.72594,18555.70603,1054.418343,1054.418343,1054.418343,20094.87003,21407.34084,20140.08184
6063.711992,6744.927259,5950.448608,13158.35865,14615.8268,19879.65719,6344.164641,6344.164641,6344.164641,14066.42754,14258.1291,14087.29929
1054.324065,1054.304792,1054.381492,12442.27564,11472.91998,12944.30828,1054.412397,1054.412397,1054.412397,11844.97607,11844.98966,11844.97605
6046.624792,8910.138531,6040.021645,13715.35295,14331.83905,17046.03401,7103.701736,7103.701736,7103.701736,16326.99143,16513.84033,16468.57014
1054.532435,1054.508028,1054.425722,15861.20728,16852.58141,15700.5315,1054.420866,1054.420866,1054.420866,16647.43369,16711.12381,17084.00012
6402.323138,6564.239725,6367.540085,22214.42635,17295.4001,16660.95747,8410.841777,8410.841777,8410.841777,17746.60793,15636.15613,15403.65896
1054.378492,1054.34204,1054.489315,16532.35016,17556.9304,16972.86435,1054.427843,1054.427843,1054.427843,17896.06161,15403.67638,15020.21492
7027.795726,7094.564127,6886.889206,19117.48085,17595.52872,19606.67135,9717.121124,9717.121124,9717.121124,17156.98175,17646.39053,17441.60082
1054.53242,1054.606063,1054.558886,11537.65193,11843.71654,12226.40014,1054.417339,1054.417339,1054.417339,15080.7961,15138.95293,15084.46873
